"Pangaea_DOI","CSC flag","len"
"PANGAEA.958164","[9]","1"
"PANGAEA.958009","[9]","1"
"PANGAEA.958138","[8]","1"
"PANGAEA.957794","[9]","1"
"PANGAEA.957918","[26]","1"
"PANGAEA.958560","[8]","1"
"PANGAEA.837464","[15]","1"
"PANGAEA.835574","[26]","1"
"PANGAEA.837515","[15]","1"
"PANGAEA.837683","[24]","1"
"PANGAEA.868682","[27]","1"
"PANGAEA.938670","[26]","1"
"PANGAEA.853572","[8]","1"
"PANGAEA.939406","[8]","1"
"PANGAEA.892795","[26]","1"
"PANGAEA.837755","[15]","1"
"PANGAEA.928761","[8]","1"
"PANGAEA.859316","[15]","1"
"PANGAEA.847795","[8]","1"
"PANGAEA.951402","[27]","1"
"PANGAEA.823378","[15]","1"
"PANGAEA.949913","[15]","1"
"PANGAEA.835120","[26]","1"
"PANGAEA.892892","[26]","1"
"PANGAEA.869470","[26]","1"
"PANGAEA.863127","[15]","1"
"PANGAEA.824705","[26]","1"
"PANGAEA.846688","[26]","1"
"PANGAEA.770055","[15]","1"
"PANGAEA.958503","[15]","1"
"PANGAEA.736022","[15]","1"
"PANGAEA.930305","[26]","1"
"PANGAEA.824663","[27]","1"
"PANGAEA.836912","[26]","1"
"PANGAEA.907928","[15]","1"
"PANGAEA.771288","[9]","1"
"PANGAEA.946525","[26]","1"
"PANGAEA.837678","[26]","1"
"PANGAEA.762350","[15]","1"
"PANGAEA.919895","[15]","1"
"PANGAEA.931943","[8]","1"
"PANGAEA.932009","[8]","1"
"PANGAEA.778472","[15]","1"
"PANGAEA.833817","[26]","1"
"PANGAEA.944854","[26]","1"
"PANGAEA.836732","[26]","1"
"PANGAEA.945127","[8]","1"
"PANGAEA.911496","[8]","1"
"PANGAEA.933051","[15]","1"
"PANGAEA.957421","[9]","1"
"PANGAEA.947920","[27]","1"
"PANGAEA.958972","[26]","1"
"PANGAEA.958968","[15]","1"
"PANGAEA.958993","[26]","1"
"PANGAEA.779697","[27]","1"
"PANGAEA.958715","[8]","1"
"PANGAEA.958714","[8]","1"
"PANGAEA.770474","[15]","1"
"PANGAEA.925263","[15]","1"
"PANGAEA.951529","[15]","1"
"PANGAEA.873189","[15]","1"
"PANGAEA.864952","[15]","1"
"PANGAEA.946411","[8]","1"
"PANGAEA.767576","[15, 8]","2"
"PANGAEA.869124","[15]","1"
"PANGAEA.946386","[8]","1"
"PANGAEA.872084","[26]","1"
"PANGAEA.952309","[8]","1"
"PANGAEA.949153","[26]","1"
"PANGAEA.774445","[8]","1"
"PANGAEA.945428","[26]","1"
"PANGAEA.868601","[24]","1"
"PANGAEA.909062","[8]","1"
"PANGAEA.907954","[26]","1"
"PANGAEA.859567","[29]","1"
"PANGAEA.875000","[26]","1"
"PANGAEA.929201","[26]","1"
"PANGAEA.848599","[27]","1"
"PANGAEA.907767","[26]","1"
"PANGAEA.869487","[15]","1"
"PANGAEA.957129","[15]","1"
"PANGAEA.949249","[26]","1"
"PANGAEA.945928","[26]","1"
"PANGAEA.957344","[26]","1"
"PANGAEA.945551","[26]","1"
"PANGAEA.931669","[26]","1"
"PANGAEA.952656","[15]","1"
"PANGAEA.770067","[8]","1"
"PANGAEA.832340","[21]","1"
