keyword,before 2015,after 2015
Cellaria salicornioides,0,0
Celleporella cornuta,0,0
Celleporella hyalina,1,0
Centropages tenuiremis,1,0
Centropages typicus,1,1
Centropristis striata,0,1
Centrostephanus rodgersii,0,1
Ceramiaceae unidentified,0,0
Ceramium bertholdii,0,0
Cerastoderma edule,1,0
Cerastoderma glaucum,1,0
Cerataulina pelagica,1,0
Cerataulina planktonica,0,0
Ceratium fusus,0,0
Ceratium lineatum,0,0
Ceratium sp.,0,0
Ceratium tripos,0,0
Cerithium vulgatum,1,0
Chaetoceros affinis,0,2
Chaetoceros criophilus,0,0
Chaetoceros curvisetus,0,2
Chaetoceros debilis,2,2
Chaetoceros muelleri,1,1
Chaetoceros sp.,0,1
Chamelea gallina,1,1
Chara aspera,0,0
Chara horrida,0,0
Chara tomentosa,0,0
Charonia lampas,0,0
Charophyta,0,1
Cheilodipterus quinquelineatus,0,0
Chionoecetes bairdi,0,0
Chionoecetes tanneri,0,0
Chlamydomonas reinhardtii,0,1
Chlamys islandica,0,0
Chlorella sp.,0,0
Chlorophyta,8,19
Chondrilla nucula,1,0
Chondrosia reniformis,1,0
Chondrus crispus,0,0
Chordata,11,60
Choromytilus meridionalis,0,1
Chromis atripectoralis,0,1
Chromis punctipinnis,0,1
Chromista,45,71
Chrysophyrs auratus,0,1
Chrysymenia ventricosa,0,0
Chylocladia verticillata,0,0
Ciona intestinalis,0,0
Cladocora caespitosa,1,0
Cladophora hutchinsiae,0,0
Cladophora pellucida,0,0
Cladophora sp.,1,0
Cladostephus spongiosus,1,0
Clathromorphum compactum,0,2
Clathromorphum nereostratum,0,2
Clathromorphum obtectulum,0,1
Clio pyramidata,0,0
Cliona celata,1,0
Cliona orientalis,0,0
Cliona varians,0,0
Cliothosa delitrix,0,0
Clupea harengus,0,1
Clupea pallasii,0,1
Cnidaria,35,62
Coast and continental shelf,156,368
Coccolithus braarudii,3,1
Coccolithus pelagicus,0,1
Codium bursa,0,0
Codium decorticatum,0,0
Coelastrea aspera,0,1
Columbella rustica,0,1
Community composition and diversity,18,49
Concholepas concholepas,0,1
Containers and aquaria (20-1000 L or < 1 m**2),66,172
Conus marmoreus,0,1
Copepoda,0,0
Corallina elongata,1,0
Corallina officinalis,1,2
Corallina sessilis,1,0
Corallina sp.,1,0
Corallina vancouveriensis Yendo,0,2
Corallium rubrum,0,0
Cornuspira involvens,0,1
Corophium volutator,0,0
Corynophlaea flaccida,0,0
Coryphaena hippurus,1,0
Coscinodiscus sp.,0,0
Coscinodiscus wailesii,0,1
Coturnix coturnix,1,0
Cotylorhiza tuberculata,0,1
Crambe crambe,1,0
Crambe tailliezi,0,0
Crangon crangon,1,0
Craspedocarpus ramentaceus,0,0
Crassostrea angulata,0,3
Crassostrea brasiliana,0,0
Crassostrea gigas,5,8
Crassostrea hongkongensis,0,5
Crassostrea virginica,2,7
Crella sp.,0,0
Crepidula fornicata,2,3
Crisia sp.,0,0
Crocosphaera watsonii,0,0
Crossaster papposus,0,0
Crusticorallina adhaerens,0,1
Crusticorallina muricata,0,1
Crusticorallina painei,0,1
Cryptococcus sp.,0,0
Cryptonemia lomation,0,0
Cryptonemia tuniformis,0,0
Cryptophyta,0,1
Cryptosula pallasiana,0,1
Ctenocidaris gigantea,0,0
Ctenolabrus rupestris,0,1
Cutleria chilosa,0,0
Cutleria monoica,0,0
Cuvierina atlantica,0,0
Cuvierina pacifica,0,0
Cyanobacteria,4,4
Cyanothece sp.,1,0
Cyclina sinensis,0,1
Cyclope neritea,0,1
Cyclope pellucida,1,0
Cylindrotheca closterium,0,0
Cylindrotheca fusiformis,0,0
Cymodoce truncata,0,0
Cymodocea nodosa,2,0
Cymodocea serrulata,0,0
Cyprinodon variegatus,0,1
Cystofilobasidium infirmominiatum,0,0
Cystoseira amentacea,2,0
Cystoseira barbarta,0,0
Cystoseira brachycarpa,0,0
Cystoseira compressa,0,1
Cystoseira corniculata,1,0
Cystoseira crinita,0,0
Cystoseira foeniculacea,0,0
Cystoseira foeniculata,0,0
Cystoseira spinosa,0,0
Cystoseira tamariscifolia,0,1
Cystoseira zosteroides,0,0
Cytophaga sp.,0,0
Dactyliosolen fragilissimus,0,1
Dactyliosolen sp.,0,0
Daitrona sp.,0,1
Danio rerio,1,0
