keyword,before 2015,after 2015
Dascyllus aruanus,0,1
Dasysiphonia japonica,0,1
Debaryomyces hansenii,0,0
Deep-sea,5,5
Dendraster excentricus,1,0
Dendrophyllia cornigera,1,1
Dendropoma petraeum,1,0
Derbesia marina,0,0
Derbesia tenuissima,0,0
Desmarestia aculeata,0,0
Desmarestia anceps,0,1
Desmarestia menziesii,0,1
Desmophyllum dianthus,1,3
Desmophyllum sp.,0,0
Development,11,34
Diacria trispinosa,0,0
Dicentrarchus labrax,2,3
Dichocoenia stokesii,0,0
Dichotomaria marginata,1,0
Dictyopteris polypodioides,0,0
Dictyota bartayresiana,1,0
Dictyota dichotoma,1,0
Dictyota sp.,1,1
Dilophus fasciola,0,0
Dinobryon balticum,0,0
Diogenes pugilator,1,0
Diopatra neapolitana,0,1
Diplodus sargus,0,0
Diploria labyrinthiformis,0,0
Dischistodus perspicillatus,0,1
Discosphaerina fagi,0,0
Ditylum brightwellii,0,0
Dolichospermum sp.,0,0
Doryteuthis pealeii,0,0
Dosidicus gigas,0,0
Dudresnaya verticillata,0,0
Dumontia incrassata,0,0
Dunaliella salina,0,1
Dunaliella tertiolecta,0,0
Duncanopsammia axifuga,0,0
Dynamene bifida,0,0
Dynamene torelliae,0,0
Echinaster sepositus,0,0
Echinocardium cordatum,0,0
Echinodermata,21,25
Echinometra lucunter,0,1
Echinometra mathaei,1,0
Echinometra sp.,1,1
Echinometra viridis,1,0
Echinopora lamellosa,0,1
Ecklonia radiata,0,1
Elachista neglecta,0,0
Electra pilosa,0,1
Ellisolandia elongata,0,0
Elminius modestus,0,0
Elphidium advenum,0,1
Elphidium albiumbilicatum,0,0
Elphidium crispum,0,1
Elphidium excavatum,0,0
Elphidium excavatum clavatum,1,0
Elphidium excavatum excavatum,1,0
Elphidium gerthi,1,0
Elphidium incertum,1,0
Elphidium macellum,0,1
Elphidium margaritaceum,0,1
Elphidium sp.,0,1
Elphidium williamsoni,0,0
Embiotoca jacksoni,0,1
Emiliania huxleyi,18,14
Ensis siliqua,1,0
Entire community,29,76
Epinephelus bruneus,1,0
Epistomella bradyana,0,0
Eponides sp.,0,0
Ervilia castanea,0,1
Estuary,0,2
Eucampia zoodiacus,0,0
Eucidaris tribuloides,2,3
Eunicea flexuosa,0,1
Eunicea fusca,0,1
Eunicella singularis,0,0
Euphausia krohni,1,0
Euphausia superba,0,0
Eurypon major,1,0
Eurytemora affinis,0,0
Euterpina acutifrons,0,0
Evechinus chloroticus,0,2
Falkenbergia sp.,1,0
Favia fragum,2,0
Favites abdita,0,1
Favites halicora,0,1
Favites pentagona,0,1
Field experiment,10,32
Field observation,16,35
Flabellia petiolata,0,0
Flexopecten glaber,0,1
Foraminifera,9,5
Forsterygion lapillum,0,1
Fragilariopsis curta,0,1
Fragilariopsis cylindrus,1,0
Fragilariopsis kerguelensis,2,1
Fucus vesiculosus,1,4
Fundulus heteroclitus,0,0
Furcellaria lumbricalis,0,1
Gadus morhua,1,4
Galaxaura rugosa,1,0
Galaxea fascicularis,0,3
Galeolaria caespitosa,0,0
Gammarus locusta,1,0
Gasterosteus aculeatus,0,2
Geminigera cryophila,0,1
Gene expression (incl. proteomics),9,37
Gephyrocapsa oceanica,2,2
Gibberulus gibberulus gibbosus,0,1
Gillichthys mirabilis,1,0
Globigerina bulloides,0,0
Globigerinella siphonifera,1,0
Globigerinoides ruber,1,0
Globigerinoides sacculifer,1,0
Gloiocladia furcata,0,0
Gloiocladia microspora,0,0
Glycera alba,1,0
Gnathia aureamaculosa,0,1
Gobiusculus flavescens,0,0
Gondogeneia antarctica,0,1
Goniopora sp.,0,0
Gonyaulax sp.,1,0
Gonyaulax spinifera,0,1
